Year,Month,Day,Validity,Cause,Eq Magnitude,Country,Location,Latitude,Longitude,Max Water Height (m),Tsm Magnitude (Iida),Tsunami,ECountry,ELocation
1856.0,8.0,21.0,3.0,1.0,7.2,ALGERIA,SEA OF ALBORAN,37.1,5.7,3.75,0.6,0,1,407
1856.0,8.0,22.0,3.0,1.0,7.2,ALGERIA,SEA OF ALBORAN,37.1,5.7,5.0,0.6,0,1,407
1856.0,8.0,23.0,4.0,1.0,8.0,JAPAN,SE. HOKKAIDO ISLAND,40.5,143.5,6.0,2.6,1,41,405
1856.0,11.0,13.0,3.0,1.0,6.6,GREECE,"CHIOS ISLAND, AEGEAN ISLANDS",38.5,26.25,0.92,0.6,0,27,73
1857.0,4.0,17.0,4.0,3.0,8.0,PAPUA NEW GUINEA,BISMARCK SEA,-5.5,147.0,0.92,0.6,1,58,41
1857.0,5.0,13.0,4.0,1.0,7.0,INDONESIA,BALI SEA,-8.0,115.5,3.4,1.6,1,36,30
1857.0,7.0,13.0,4.0,1.0,6.4,JAPAN,TOKAIDO,34.8,138.3,0.92,0.6,1,41,464
1857.0,11.0,17.0,3.0,1.0,7.2,INDONESIA,"KEMA, SULAWESI I, N. MOLUCCAS IS",1.35,125.2,0.92,0.6,0,36,193
1859.0,6.0,28.0,4.0,1.0,7.0,INDONESIA,N. MOLUCCAS ISLANDS,1.0,126.5,10.0,3.2,1,36,273
1859.0,7.0,20.0,3.0,1.0,7.2,INDONESIA,"LONTOR ISLAND, BANDA SEA",-4.6,129.9,0.92,0.6,0,36,231
1859.0,7.0,29.0,4.0,1.0,7.3,INDONESIA,N. MOLUCCAS ISLANDS,0.009,125.5,1.0,1.0,1,36,273
1859.0,8.0,25.0,3.0,1.0,6.2,EL SALVADOR,EL SALVADOR,13.33,-87.81,0.92,1.0,0,21,119
1859.0,10.0,5.0,4.0,1.0,7.6,CHILE,NORTHERN CHILE,-27.35,-70.35,6.0,2.5,1,10,299
1859.0,12.0,9.0,3.0,1.0,7.0,EL SALVADOR,EL SALVADOR,13.7,-89.8,0.92,1.0,0,21,119
1859.0,12.0,25.0,3.0,0.0,7.2,INDONESIA,N. MOLUCCAS ISLANDS,1.37,125.1,0.92,0.6,0,36,273
1860.0,4.0,8.0,4.0,3.0,7.5,HAITI,ANSE-A-VEAU,18.52,-73.35,0.92,0.6,1,32,18
1860.0,4.0,17.0,3.0,1.0,7.2,HAITI,PETIT TROU NIPPES,18.55,-73.5,0.92,0.6,0,32,343
1860.0,4.0,23.0,3.0,1.0,7.2,PERU,CENTRAL PERU,-12.1,-77.1,0.92,0.6,0,59,67
1860.0,10.0,6.0,3.0,1.0,7.2,INDONESIA,CERAM SEA,-1.25,128.5,0.92,0.6,0,36,68
1861.0,2.0,16.0,4.0,1.0,8.5,INDONESIA,SW. SUMATRA,-1.0,97.5,7.0,0.6,1,36,446
1861.0,3.0,9.0,4.0,1.0,7.0,INDONESIA,SW. SUMATRA,0.009,98.0,0.92,0.6,1,36,446
1861.0,4.0,26.0,4.0,1.0,7.0,INDONESIA,SW. SUMATRA,1.0,97.5,0.92,0.6,1,36,446
1861.0,6.0,17.0,3.0,1.0,6.8,INDONESIA,SW. SUMATRA,1.0,97.5,0.92,0.6,0,36,446
1861.0,9.0,25.0,3.0,1.0,6.5,INDONESIA,SW. SUMATRA,-1.5,100.0,0.92,0.6,0,36,446
1861.0,10.0,20.0,4.0,1.0,7.4,JAPAN,OFF MIYAGI,38.5,142.0,3.9,2.0,1,41,326
1861.0,12.0,26.0,4.0,3.0,7.3,GREECE,CORINTH GULF,38.2,22.2,2.1,1.1,1,27,80
1862.0,1.0,1.0,3.0,1.0,7.2,GREECE,IONIAN SEA,38.25,22.25,0.92,0.6,0,27,171
1862.0,5.0,27.0,4.0,3.0,5.9,USA,S. CALIFORNIA,32.7,-117.2,1.2,0.3,1,78,376
1863.0,9.0,20.0,3.0,1.0,6.4,JAPAN,NW. HOKKAIDO ISLAND,44.6,141.5,0.92,0.6,0,41,306
1864.0,5.0,23.0,3.0,1.0,7.8,INDONESIA,NW. IRIAN JAYA,-1.0,135.0,3.0,3.6,0,36,308
